,iql_2p_12,iql_2p_420,iql_2p_514,iql_2p_5,iql_2p_616,iql_2p_280,iql_2p_510,iql_2p_292,iql_2p_106,iql_2p_204,iql_2p_310,iql_2p_492,iql_2p_3,iql_2p_432,iql_2p_212,iql_2p_101,iql_2p_210,iql_2p_10,iql_2p_7,iql_2p_614,iql_2p_9,iql_2p_602,iql_2p_232,iql_2p_224,iql_2p_604,iql_2p_112,iql_2p_220,iql_2p_11,iql_2p_111,iql_2p_102,iql_2p_214,iql_2p_107,iql_2p_428,iql_2p_208,iql_2p_288,iql_2p_6,iql_2p_110,iql_2p_2,iql_2p_8,iql_2p_105,iql_2p_4,iql_2p_113,iql_2p_518,iql_2p_314,iql_2p_606,iql_2p_612,iql_2p_608,iql_2p_610,iql_2p_228,iql_2p_488,iql_2p_284,iql_2p_484,iql_2p_200,iql_2p_618,iql_2p_424,iql_2p_480,iql_2p_600,iql_2p_206,iql_2p_318,iql_2p_202,iql_2p_1
iql_2p_310,0.07946582943630552,0.05838735143847509,0.10338437943906227,0.12280947764728908,0.06627129447958596,0.0524266982366809,0.05950242105998714,0.12987539874818477,0.09307409689059572,0.04501690917866307,0.026447979280088678,0.09762867955677777,0.09442927643480065,0.08810674598462935,0.08397546613148389,0.08323997496395587,0.12658564139743494,0.07710100590783493,0.11267124211616732,0.06767779925499942,0.12099876201019578,0.12815765887374816,0.1014986188674506,0.1172708260736659,0.08682318142063213,0.08624284777301826,0.051552044692718055,0.12725613978115163,0.0916264708913314,0.0975783207070095,0.07470122242641013,0.09482645622398844,0.09662521807478625,0.12863830396891898,0.06943025185032818,0.11639667070840126,0.11986560994714038,0.06504980190592435,0.08006195600908085,0.10228063163668867,0.1119255461099029,0.12743397722742547,0.089732488475468,0.0612371390579279,0.13109693729450736,0.0795153809523667,0.05622999598079302,0.10789710283413544,0.01686684890547135,0.10849963008231872,0.11064110830970555,0.09942384096382517,0.10870189249502511,0.0691044296698844,0.11444837788278173,0.1104601325727975,0.12348996237751472,0.1007041369160175,0.11485467266071503,0.07514734321318352,0.1059767859863659
iql_2p_492,0.116058434799027,0.0574033507035957,0.12917517405445986,0.13627335399115997,0.1116191238094978,0.10212208282247284,0.0963811697791638,0.12029169078535724,0.1228633696754244,0.04114511674548998,0.09963782892054604,0.027193998014267782,0.12120263941020427,0.11982665075850196,0.11895706734784614,0.1077774289914173,0.12807211605966384,0.11420272189400743,0.11085044768515824,0.1121885179151592,0.11310434032343764,0.10541013139162668,0.11221075595503312,0.1215837231211481,0.12038509130286856,0.11611434309334913,0.10208540702764524,0.09585981748365682,0.10925774938190883,0.11942772328065204,0.11254669487817046,0.11623302494558076,0.11650242902188777,0.10670303553320308,0.11399749484966763,0.09452733361308781,0.12986051285899033,0.11820260626568263,0.10959962788257996,0.11243390147104207,0.09196831241248259,0.10764299572196975,0.10497104454086374,0.10710172327278399,0.10583608927015396,0.10988867002562185,0.09777707702728691,0.07718634076052577,0.024133405230095484,0.10437916175175962,0.1199863629251258,0.11430661797113936,0.11030539334048901,0.11629899256657386,0.1251421560945791,0.09491044098517296,0.12409292385950134,0.11330631050387263,0.1077529482102462,0.1145406792366799,0.11260776399520593
iql_2p_3,0.10062901116477295,0.05403756885723117,0.11672057559830658,0.0908469196395783,0.09920193026347825,0.10154184146449186,0.09112407853032042,0.08607379675603952,0.103677909855475,0.06942094156664831,0.09317714741287157,0.12082685052586614,0.029442958411137966,0.10961363123261632,0.1013771221134236,0.09702164706909483,0.10249107496753071,0.10802055448848612,0.08994566804465905,0.10415274594555823,0.09443814987599027,0.08873057533905661,0.08615213984574034,0.09922037145667213,0.11838791235594957,0.10821683403241845,0.10153422276257398,0.07935439718125266,0.09051000386697594,0.10784261124434998,0.10338055275534175,0.10345088539012123,0.09483094174371569,0.07561123726007926,0.09383183255164528,0.08954055242179378,0.09815511381481863,0.11456603248781899,0.1049673122071819,0.10125697491037346,0.0965588069520331,0.07388746015393952,0.10305998994760283,0.09212826185270186,0.10057671523767317,0.10718955038622001,0.09753551045644862,0.11346066821590642,0.01585500198675484,0.08746925110002944,0.08840375811016181,0.10690633448023555,0.09380532624536837,0.1060593910599151,0.0996475050967158,0.0880499320158738,0.13100167937854842,0.1006920761529923,0.09052580184676631,0.1073300565918047,0.0970617854770867
iql_2p_432,0.11594781415792191,0.06064601131154463,0.10306143798725108,0.1399173148970491,0.07897954038863482,0.0634273379545445,0.076568655519083,0.09916911067464505,0.08308805757748824,0.04465782789164739,0.08532800975060886,0.12075720712239081,0.11156545701963487,0.028642250051279138,0.10697946509494238,0.09467056036593424,0.13938594221800132,0.06906778809256889,0.11102236859300021,0.06511397951285117,0.11556754945917992,0.12598083508216634,0.1117249828820752,0.10119137022493568,0.09312832226557075,0.0969391923217849,0.0782386656327931,0.13624062099095116,0.10402075423683486,0.07008194768982952,0.08129864175987199,0.08389928586108467,0.08710287710517949,0.12884945556734032,0.09914827667690447,0.12070772207278205,0.1266600696668054,0.06965548816855711,0.06755239927641357,0.06728081087501844,0.1037560322680084,0.1440503133214225,0.0781121130171243,0.09521975723556536,0.1475092347210845,0.06283569679728235,0.08321945306236998,0.10968079051502137,0.035276990347817366,0.09260351401539792,0.08682911143159304,0.08172478693762378,0.11305034404193558,0.05830216291013567,0.1124094800272646,0.11171452729166427,0.14198003194815811,0.06955433668722605,0.11113064369470735,0.07741496697667706,0.11572850933110648
iql_2p_212,0.07935772658033999,0.054267128835050776,0.12701638568310783,0.13748714104235346,0.09241409139303378,0.10733204926768145,0.08139584264567817,0.1339176635399528,0.12133391558834652,0.037398711314696395,0.08927328070593128,0.1211614034583621,0.10342671898498956,0.1086789841321679,0.022245078377025333,0.10726728601022772,0.13835244396829427,0.10434576027802951,0.13983139535883923,0.11161080248793125,0.09966251596262257,0.139520103210971,0.09956191786019392,0.10721172738091668,0.119266606592122,0.09675347538977606,0.1048076319358471,0.14351273961568708,0.11556947569319505,0.10715839117866598,0.08021945818814784,0.1175486115953736,0.08622896956359852,0.13048374917973501,0.06560291938625902,0.11990770837606729,0.12626849754392422,0.08312402993118174,0.12070551271586563,0.11854620699119817,0.11200400335702292,0.14588699953045853,0.1233308032569317,0.059337615118910864,0.14881170921671452,0.09468596985826358,0.1052675232348515,0.10304185961054857,0.025812276769010517,0.10912571975478556,0.08084454371199085,0.09402993051151319,0.06743206780160313,0.09488212054965887,0.11969041719369182,0.11656891218502469,0.14017154401660845,0.13048542907160168,0.10583649121167991,0.09993456895389102,0.09992497585688975
iql_2p_101,0.095736299448015,0.060512126321919976,0.12140267011890636,0.13071266760341171,0.10914279054523024,0.08578939328378538,0.07530707138111267,0.10846103078986478,0.1068453084042533,0.04699534538653802,0.08883059432425294,0.10464490504558738,0.09804705609043038,0.09553347576635113,0.1053912250996258,0.025857244864834303,0.1355701375672386,0.08324105866698235,0.10215509212956542,0.10179589142986076,0.11792882460196065,0.11904626327608944,0.13012392419536079,0.08261849458807635,0.1201992518778715,0.08523043583133903,0.08762265602000431,0.1356253120623138,0.12302493116437822,0.09980218835276107,0.06924257412892736,0.10833632517304619,0.07201974307091076,0.12095013289781868,0.08586054535116813,0.11188684566114104,0.12511077510750224,0.10150634545682352,0.1047673384218574,0.11476775571561902,0.11003190751777414,0.13887231994893726,0.09437656980416272,0.09175756365553742,0.14143699586741795,0.08122631962609163,0.08117737808034944,0.10000845340269991,0.027092409416661335,0.10632570244301233,0.10588068753082405,0.08138410577010723,0.09263519227593797,0.08772171908940224,0.12403842859372254,0.11907709516107622,0.13880808503830025,0.10342706554862706,0.08350626472307332,0.08271350259782256,0.09994708103791726
iql_2p_210,0.13150630050305576,0.057611731860793776,0.13754886945373268,0.1383379860775774,0.1437584613161952,0.13546948736892747,0.12536631445488058,0.1203510754750451,0.13627917275944992,0.04034961452108309,0.12632327785487518,0.12862669331052556,0.10188833354216761,0.13930947465265955,0.13885805345027705,0.13536737556737957,0.023353640230165403,0.13870445469414455,0.12789708049834445,0.12860156985044932,0.13071719654276556,0.13014830184063103,0.14382591452168833,0.13423881855856745,0.14109473557861751,0.13716950226635657,0.12163527248294387,0.12973964004883007,0.13754699851323546,0.1399930713714075,0.13573632085775716,0.13091240234599624,0.13501880683815864,0.10039893162778178,0.1343822718962587,0.11767748437148035,0.11667994648610361,0.13039793421676588,0.13194245651798361,0.14308486723619657,0.10612197721490116,0.11837763812477423,0.1320054271611588,0.12778973667709,0.13293459658042373,0.1261535125472137,0.11761991110352021,0.1033799970980847,0.012574609337868114,0.135382775595716,0.14205603356422422,0.13298430283307874,0.13851064236368266,0.13422818768053155,0.13846561771067936,0.10930607884285301,0.14606011844442685,0.1332497848103328,0.13311583695413556,0.13269212486052065,0.13955593548108225
iql_2p_10,0.09069685661587175,0.06281473050169044,0.11415488369754491,0.1363071869271756,0.06536389700744592,0.06288352655505255,0.07197993048065551,0.09724246496258719,0.10230651420119834,0.050663940549467726,0.07971749996079908,0.11262722313899069,0.10906613300195436,0.0698325191297006,0.102731135494552,0.08617971803156471,0.1383525143681892,0.02392812420562882,0.10951850893798729,0.08173145313769968,0.12141697275092968,0.09677995891712292,0.1309477428289621,0.08986020627619325,0.10517816651758101,0.10677375613885651,0.07259427586249484,0.1385803863755618,0.08742454685041268,0.08697511901687746,0.05466228762135737,0.10773834140174983,0.08634607131769227,0.12087278588665026,0.07367730179641488,0.11288152653113792,0.12573557571347893,0.09149547765873457,0.08837945028115982,0.0871147994774711,0.10914183931013807,0.1435108184075333,0.07881082113517153,0.093279659990804,0.14497389003541292,0.06316707370141504,0.07606258875426211,0.11110437557540205,0.033286898203347216,0.09667404330015374,0.11616064156158919,0.09982796017148703,0.10494047497510195,0.06498858976774308,0.120282832524014,0.11278084943819139,0.14085357705077992,0.0888998893587613,0.09364684571302975,0.09433287511785061,0.12305049626880828
iql_2p_7,0.1418498462177524,0.06295721410608954,0.10683804730525542,0.13435551930605605,0.13502207452116857,0.12756045703900562,0.10817537579319982,0.08566968747462547,0.13487679945787562,0.04163996071083641,0.11896840373813544,0.11135464297459717,0.08857219626948402,0.11639654424423433,0.1414155177906583,0.10765160457698715,0.12861027364872527,0.11309703978442583,0.022947585319592997,0.09134652961114614,0.12905129147745867,0.0648115712508191,0.14501581475135739,0.11574426012550254,0.1499984402852243,0.07278406331059017,0.13136727141872134,0.13405933704147577,0.14379436625960004,0.1314851571547146,0.09954486248923146,0.13665273699417804,0.1318020274199149,0.10411398000268744,0.14184524513708593,0.10226991639773644,0.11624036390170153,0.12398732786861728,0.08328182111361399,0.13891615194785664,0.10343989342608585,0.13761239479058562,0.08047906157504571,0.11579062342003346,0.14454377285791317,0.07318001016671151,0.11780080947090302,0.10442048396746685,0.025500634658768787,0.1434902196248929,0.1407822460397617,0.09592762400893706,0.13264518322200772,0.12464672331032212,0.12112838725913921,0.11862810446095814,0.13601108116620497,0.10517440053549151,0.138352521220251,0.08800249882815828,0.09811701487509697
iql_2p_614,0.11657557548646286,0.061064857258491964,0.07790036528797538,0.13025885855480235,0.08760295867149694,0.07931943539889828,0.07553183757859992,0.08340319399159724,0.08879985297285126,0.04683892398422491,0.07178285388586889,0.11146920618717979,0.10761803235517735,0.06595497882646918,0.11276773549202804,0.09911239212126806,0.12812612757747732,0.07903163796860091,0.091290056588875,0.024072657352274176,0.1317621478574177,0.08921183347516179,0.12471558568198285,0.11232521978611926,0.10378407970397001,0.07547393293051581,0.07271722744989663,0.13327157161225345,0.09860883428983429,0.08641560224866804,0.09298876938641569,0.08158078082489771,0.11039459374444022,0.11198268434003536,0.10970881280918136,0.10731297774267565,0.10992245994336189,0.08673465886253313,0.037115357899392534,0.07377554955403585,0.11229091019312294,0.1349622399043525,0.039355121547264976,0.08857426944660621,0.1406948407014273,0.03766328620818954,0.07033162839007781,0.10807891631581064,0.02733002978410378,0.11982119358444063,0.11493994035147223,0.06659527857138221,0.12366932007575686,0.06758165378266501,0.10679078552009999,0.10143833989177858,0.1365410531671702,0.0654650502176543,0.12814630310703468,0.056432872973117366,0.12412072751962101
